date,sector,vader_compound_raw,vader_compound_lag1,vader_compound_21d_trailing,vader_compound_21d_trailing_lag1,positive_ticker_share,neutral_ticker_share,negative_ticker_share,article_count,covered_tickers,coverage_share,breadth,has_news,signal_source_date,signal_available
2023-08-10,RealEstate,0.326865,-0.03062,0.106165355442,0.0989574982993,0.8,0.2,0,9,5,1,0.704347826087,True,2023-08-09,True
2023-08-10,Tech,0.0537896470588,0.1329045,0.122666291027,0.125947836179,0.4,0.6,0,47,5,1,0.364822460776,True,2023-08-09,True
2023-08-10,Utilities,0.09966,0.23205,0.139473051776,0.139063845427,0.4,0.6,0,10,5,1,0.769230769231,True,2023-08-09,True
2023-08-11,Comm,0.166533333333,-0.0229375,0.0841102538034,0.0813876347558,0.75,0.25,0,11,4,0.8,0.691428571429,True,2023-08-10,True
2023-08-11,Consumer,0.076580034188,0.0671308333333,0.0871397561984,0.0922907022418,0.4,0.6,0,34,5,1,0.760526315789,True,2023-08-10,True
2023-08-11,Energy,0.148173054945,0.2552375,0.109643824575,0.110205470484,0.8,0.2,0,36,5,1,0.753488372093,True,2023-08-10,True
2023-08-11,Financials,0.194316666667,0.130885,0.0816278513853,0.0719764360414,0.75,0.25,0,10,4,0.8,0.769230769231,True,2023-08-10,True
2023-08-11,Healthcare,0.068855,0.229053333333,0.0995941882473,0.101393553327,0.2,0.8,0,13,5,1,0.71914893617,True,2023-08-10,True
2023-08-11,Industrials,0.07416625,-0.0401333333333,0.0886922205998,0.0902190261554,0.5,0.5,0,11,4,0.8,0.562790697674,True,2023-08-10,True
2023-08-11,Materials,0.299733333333,0.04404,0.084185291923,0.0684098533265,1,0,0,3,1,0.2,0.2,True,2023-08-10,True
2023-08-11,RealEstate,0.156225,0.326865,0.106442934807,0.106165355442,0.5,0.5,0,4,2,0.4,0.4,True,2023-08-10,True
2023-08-11,Tech,0.146443703704,0.0537896470588,0.121440012368,0.122666291027,0.8,0.2,0,39,5,1,0.390500641849,True,2023-08-10,True
2023-08-11,Utilities,0.203583333333,0.09966,0.146491305745,0.139473051776,0.666666666667,0.333333333333,0,4,3,0.6,0.533333333333,True,2023-08-10,True
2023-08-14,Comm,0.0902895833333,0.166533333333,0.0837996970807,0.0841102538034,0.75,0,0.25,10,4,0.8,0.666666666667,True,2023-08-11,True
2023-08-14,Consumer,0.0584319047619,0.076580034188,0.0822916131351,0.0871397561984,0.6,0.2,0.2,52,5,1,0.533333333333,True,2023-08-11,True
2023-08-14,Energy,0.178631111111,0.148173054945,0.113016888474,0.109643824575,1,0,0,29,5,1,0.909189189189,True,2023-08-11,True
2023-08-14,Financials,0.0897693846154,0.194316666667,0.0847905892771,0.0816278513853,0.4,0.6,0,27,5,1,0.653811659193,True,2023-08-11,True
2023-08-14,Healthcare,0.188395,0.068855,0.103973950152,0.0995941882473,1,0,0,20,4,0.8,0.78431372549,True,2023-08-11,True
2023-08-14,Industrials,0.07925,0.07416625,0.0881572999649,0.0886922205998,0.666666666667,0.333333333333,0,5,3,0.6,0.555555555556,True,2023-08-11,True
2023-08-14,Materials,0.213822222222,0.299733333333,0.0954390930926,0.084185291923,1,0,0,6,3,0.6,0.514285714286,True,2023-08-11,True
2023-08-14,RealEstate,0.0626583333333,0.156225,0.107441545918,0.106442934807,0.5,0.5,0,7,2,0.4,0.264864864865,True,2023-08-11,True
2023-08-14,Tech,0.13544012987,0.146443703704,0.121442412325,0.121440012368,0.8,0.2,0,63,5,1,0.525347452019,True,2023-08-11,True
2023-08-14,Utilities,0.417033333333,0.203583333333,0.157149242252,0.146491305745,1,0,0,4,2,0.4,0.32,True,2023-08-11,True
2023-08-15,Comm,0.0572708333333,0.0902895833333,0.0907461307397,0.0837996970807,0.5,0.5,0,12,4,0.8,0.757894736842,True,2023-08-14,True
